,PMU_EXAMPLE_FAKE_092be9f8_f19f_11ec_ad61_30d042e819fe
pmc10,"0.020584494295802447,0.289751452913768,0.5487337893665861,0.4389714207056361,0.31931363759041487,0.6134151959357899,0.039312139841098936,0.7602278598896866,0.9848411989623346,0.5902949425148077,0.22120944181960223,0.8158331249906178,0.42618130223597295,0.08011484638467514,0.20584121003676825,0.8129857387160935,0.8800790875614583,0.1520248531286481,0.6603027197013381,0.3056042154902149,0.03361360018328263,0.14071152804875842,0.7539619035967839,0.5074119387178089,0.688274235780237,0.06245759361907144,0.8393384923560023,0.7731418739186715,0.24734031581908333,0.2304166621173499,0.5488586650773559,0.6376882468959355,0.16036540611974315,0.7227377522388047,0.411191517994586,0.3352790500782957,0.5712604699370973,0.010284495935692028,0.6920112559466547,0.03926941424165231,0.034672704226066386,0.5639195667556237,0.10548342746103567,0.27706924971339963,0.07675806188873802,0.1744092671114995,0.33924066117383633,0.4189697737795244,0.16881000578456418,0.8844787275967592,0.16549977466365562,0.9700744566667069,0.9476861770642796,0.3358163646415345,0.6877692063657348,0.13328425808217315,0.07696918300801736,0.16874943839822953,0.16653851349727,0.4063322309637678,0.8036934518773025,0.9764896611478872,0.49651542223060485,0.36176831192256587,0.04778136468140537,0.05233285730066284,0.8695411688592183,0.0985468514129424,0.773995087294009,0.41607067040868617,0.25048294674976346,0.720333369165993,0.45631682055096234,0.9668655502933936,0.4241850557459762,0.8369278328446237,0.31318205070363514,0.03342653309322163,0.2230900184453558,0.8806505774645779,0.839408037609272,0.499618411998762,0.1740104480161242,0.47675387550832815,0.4484852280026338,0.1855259752577192,0.4181315997936227,0.8059701286709539,0.20307059292006213,0.7322905674256961,0.286660581287023,0.9432983972456526,0.908917744121454,0.2648662578135714,0.15737851486886756,0.5445312929045081,0.6997130771543372,0.18804109258878576,0.11310575650171983,0.32814718051506864"
pmc11,"0.9699098521619943,0.16122128725400442,0.6918951976926933,0.07845638134226596,0.9500619670508049,0.4182430362906189,0.7994103989090426,0.5956387406078443,0.8388980864459341,0.26806364082287626,0.987668007996647,0.22444057183666066,0.4513870243296755,0.8948166560605276,0.11191961939772788,0.7181230762264944,0.6508773690471942,0.06134962711066816,0.7643726622217359,0.8766507618282006,0.06265320345535452,0.20201566840248997,0.8049067768414386,0.8742225246851758,0.14055296757836078,0.8834647629860607,0.003819922658583108,0.5179605277125789,0.6406151835488874,0.001473822086311416,0.2876327290436782,0.2420220799808772,0.6736454174749077,0.656729484721608,0.13008066982894695,0.06701653775120997,0.1430011226657264,0.7160499732421445,0.4579289944340279,0.27199860534435605,0.391910562943909,0.5002785352077603,0.5855876838726125,0.9408801695592043,0.004187443627957865,0.47164949075059537,0.062431327277780335,0.4580286165838686,0.8539428821418529,0.5539932555031309,0.7066041289942178,0.8650710993753938,0.21877170841087967,0.615069754014698,0.2734745153749798,0.9277457330754073,0.6707650254430357,0.968326960099255,0.9861767972836948,0.9265853832183811,0.8178220735661906,0.37625932933042194,0.12331849107529225,0.5242547205377367,0.3522309750707453,0.7828486179866575,0.7640955865788793,0.23207857786616504,0.05207240622126974,0.9778536935017818,0.8059058425334413,0.9182850353799578,0.1707682600033369,0.5265949425897893,0.4466887217446649,0.9954836107332199,0.17884106850779935,0.3667520764259401,0.056515690796757334,0.41291118958921325,0.4481708470213185,0.30521453012885913,0.76075930838695,0.27067460596528936,0.9806482195640496,0.651679794878427,0.91101569997922,0.28949786511971964,0.40195192461521956,0.7769463883925212,0.36695783181699526,0.527772209068877,0.9419914468838717,0.3498616942224785,0.670974709485785,0.5323102633799106,0.24627073410317324,0.8596655476664752,0.8282735648159884,0.9081895956965028"
pmc12,"0.8324426408004217,0.9296976523425731,0.6519612595026005,0.02535074341545751,0.9506071469375561,0.9327284833540133,0.6279003894909078,0.47157618855015837,0.12466268120326685,0.624148907849134,0.9440593396866133,0.22381761482262308,0.16362382119166918,0.5475923761537362,0.2697496115169896,0.9555236959549347,0.5329577865513353,0.7807615860684398,0.265046428325004,0.9963343376272473,0.906437453344411,0.18422483923802613,0.0180065556004545,0.49354658034011867,0.4855896996593978,0.4483190553694222,0.24682386920190225,0.3480955931682881,0.6666004790466192,0.7293447940879964,0.3067765995221412,0.7140527233781268,0.17925325573928075,0.7087656552291542,0.022425889162055124,0.9753431334790705,0.37454824337958126,0.7062461625552622,0.2265216260361057,0.006379043406590679,0.6971636921379805,0.06939408590418339,0.5443448876343211,0.12434584143087035,0.6704343337969175,0.09142199181713817,0.486173654104883,0.2566472071860958,0.013228812905293985,0.5345592191563087,0.5353477680616567,0.6007921493396191,0.3262205069809315,0.9269075621458641,0.7364731746190728,0.867702097919239,0.8212594203728455,0.4528833604155117,0.8208490092631288,0.7104218150124118,0.9789473558546619,0.9232860210139356,0.40097032668835175,0.6707273254426008,0.8565719886833357,0.8455108108405605,0.24781244290690685,0.7089000062515824,0.012821649510605826,0.2005646595880699,0.27967385654644317,0.4080404616028166,0.2672098954860741,0.30328102606544527,0.2541472801278144,0.02256858320237709,0.9019161078378828,0.23707039117417805,0.10339493663004151,0.5374937536732345,0.6366929143579417,0.9737425820384935,0.015838070944874216,0.029170668574074465,0.3502723706693276,0.7126014072983932,0.9931637389334784,0.6641257392833504,0.8457448783257632,0.8724628150836742,0.08389796062890931,0.5400291922606877,0.06431922319358352,0.7083240490779703,0.7539376844414241,0.07587164122404755,0.903407755862793,0.25775521562810966,0.251853362345709,0.09695212359898775"
pmc13,"0.21233911067827616,0.808120379564417,0.22426930946055978,0.9626484146779251,0.5734378881232861,0.8660638895004084,0.08175903194887191,0.41184091414726853,0.9208418826173723,0.4094116521912404,0.0394268113685059,0.5369744228934136,0.7948095487499294,0.8172977699624937,0.05708685608931485,0.01823258267636163,0.3243337531153756,0.4598004237693202,0.020944961030912812,0.36830953050684834,0.13924537111759516,0.8939897100078704,0.962810357074026,0.7022587660316643,0.027536719869465487,0.5104324890042322,0.7409040561520714,0.3717392949063303,0.1626997438085659,0.9668454997992854,0.3529585034523566,0.0913914863317764,0.6939495905101568,0.008363681876857099,0.3604268271414861,0.8169739072718367,0.797732263348214,0.6226895409497974,0.6139703063252326,0.9783547870568566,0.19343534295648257,0.08987685173616067,0.23374079203674425,0.8751336186211521,0.6418195168014353,0.6256819122613526,0.10901361564092871,0.7521143326969748,0.5117804565694807,0.1954580003683999,0.635323346708321,0.7008656972438799,0.7561922341067805,0.9620584989413515,0.051657357114641034,0.7076205857405353,0.24465505460471304,0.9457151084410245,0.2814773024509194,0.41892362479291867,0.5018695310245037,0.5448246756734317,0.3507097879920843,0.269439446303655,0.39605447743546673,0.7990821457719545,0.036340748316242455,0.8237444619122997,0.795544391926648,0.21535928285460848,0.19152132205014816,0.19127737103739706,0.509113385187522,0.3625832125946771,0.8251348756614191,0.11285814471276223,0.39718688631712884,0.44727296815712203,0.43150811984764237,0.04929966240916994,0.22123781980668367,0.6633626109564928,0.5578101257354344,0.6051016222371507,0.4521829393601079,0.6880305189519813,0.10609204994795207,0.4265919010543934,0.3462660507879305,0.21563976272584917,0.05227637227220572,0.46103356809781204,0.40237053954137436,0.367847181142801,0.11039423424993378,0.6982154534944728,0.104371458082829,0.22642960508764998,0.7773021481439183,0.6064097767438004"
pmc14,"0.18182496720710062,0.6334037565104235,0.7121792213475359,0.8359801205122058,0.6318372121697993,0.04521867010618941,0.8735786241067772,0.3488682665429953,0.8698963620621283,0.5520471808519802,0.7055751725156885,0.5929399348417032,0.6936822257814886,0.45231828451830014,0.531169528001032,0.1957779856835461,0.33300191305819793,0.05816379550547579,0.08217166747642735,0.44861063095454257,0.5324206822752171,0.6542925523249619,0.7266709920703233,0.9928168389990704,0.50545511791045,0.6265925110932102,0.3162701497293068,0.0013536257154681541,0.5650853124527563,0.22429348328504506,0.6212924490496101,0.1992703364668008,0.22959816075396866,0.21766739958053605,0.7837382510752364,0.8525474212459705,0.36739072869707046,0.9901088460868658,0.2528581182501112,0.9657472098197475,0.6415044812562517,0.6009120056590861,0.6377741418455916,0.9709402496046186,0.41078880999961176,0.5505316805962256,0.248539820927426,0.5128747423052678,0.7694425794215568,0.16622936205165872,0.19648696695621115,0.28520580268041407,0.3937551415654067,0.5089590404220475,0.04929449276441644,0.10621382758845621,0.42130088163336465,0.676820043630047,0.07006869572118946,0.5172721697543106,0.45495687972773713,0.26974246587376705,0.7728400834265033,0.27752280490239256,0.199156897597067,0.5084790353080261,0.10184726514238274,0.8570290283305779,0.4771463759890493,0.29186717703639975,0.5042634607930315,0.5171179308569195,0.1474539174261349,0.06640535346049736,0.4852556041472411,0.609467763366622,0.24527930497436734,0.07237639319412248,0.22991837086163258,0.0023474738674531537,0.677073712658448,0.4082375193462987,0.3794613805934648,0.3957448298473544,0.13351555135281956,0.31931688002137404,0.23305318798485863,0.8891193557274428,0.6546211935154629,0.08380415909506078,0.25345712967301626,0.32589014339364275,0.02345902172115444,0.5552633226079402,0.4678024120373392,0.6237721906508529,0.9826882395913257,0.48071405648435594,0.9571070960000514,0.4514959391194442"
pmc15,"0.18340450985343382,0.8714605901877177,0.23724908749680007,0.695974206093698,0.44844552197831977,0.026366974497252005,0.9208724005318132,0.9295291442478258,0.5188380571260721,0.4361265291353167,0.9252483174156658,0.5800862078378112,0.2207696127887604,0.643577695196525,0.9366056922949615,0.00756287497814212,0.6694869551981901,0.9948663171697671,0.9678600348450305,0.722070938202737,0.41109560260070654,0.15210428322227287,0.3047510953861333,0.13148911989798162,0.9640174071177023,0.9263826067300868,0.10189238806601353,0.2998005275652359,0.7716269109786077,0.6630471918034224,0.3340499656687692,0.8774700466544819,0.11755130015021997,0.6616842883998565,0.5661806912250709,0.9379652314338942,0.08701721830278875,0.31187943576372523,0.5776317543444226,0.39515529747230504,0.25982813794029946,0.3409585714355583,0.8200675020556494,0.17715352322262556,0.48964407603203264,0.40736552421283234,0.3169426217672814,0.3208545427498436,0.9347955174927833,0.9164891511155142,0.21174586205241952,0.6307704201726206,0.6082113767664467,0.4528248052843268,0.3862877051455452,0.775877254469693,0.8388393367652703,0.30158686987355154,0.05662555737755803,0.08421301117709834,0.7534756054464806,0.7023987210805986,0.8031705116327311,0.9334131270234548,0.4247941813314118,0.23290183864948166,0.7284939338474402,0.4151071768549326,0.13088113855357597,0.1727573182810873,0.8656450363727319,0.9080836870598544,0.6116556756460141,0.9893495140420392,0.5434058521982641,0.8205764393338497,0.4484078410159329,0.9541316415710726,0.5159458785254234,0.2447998730017259,0.7722402758932766,0.2804632242046524,0.5065499999085472,0.2986721573875497,0.04795773243698764,0.2522024021593309,0.9503797514820932,0.8452255581607399,0.7093142948034834,0.48289443659859865,0.07424685933054576,0.4756550309249171,0.3294166573744429,0.09993187705440965,0.07087170065487358,0.1890172827464972,0.8602478109774646,0.49885102374427426,0.6967955139643413,0.9384682123658125"
pmc16,"0.3042422429595377,0.8036720768991145,0.3253996981592677,0.4089529444142699,0.29321077169806453,0.3764633668780496,0.06107795985486375,0.8306194077877291,0.5912754357449292,0.29446575954191767,0.18057534512733353,0.09148683739775487,0.0823810456158427,0.5264026609361132,0.03934354066850965,0.647474714154603,0.9941393612211675,0.05778056099636664,0.29544477747742026,0.8861957804650745,0.3473433262588427,0.440323418368349,0.8293946648588469,0.2747315255195195,0.3842067129858002,0.01911609442976403,0.3602339188004279,0.6464587416379305,0.4988956645359419,0.7418963269587151,0.7326990505902804,0.7387231507265664,0.16528449014295743,0.48398936817974714,0.31277798921035405,0.08510348611978535,0.5567849109281879,0.3399718637932482,0.35920874698269034,0.728370854339646,0.8860861088135163,0.9172680665776807,0.041578959846593766,0.7220660642037853,0.4154430005920896,0.5213770214737412,0.808826323491684,0.5960501157609502,0.909202136206487,0.32783819885003407,0.04149732550990637,0.45564954943987745,0.4445735010694285,0.2786943159285258,0.3534731920607206,0.807957328109019,0.877120467662288,0.18830252491710642,0.12037814950553383,0.9845758963761131,0.13247065634192656,0.6589018065748572,0.153412882389088,0.7235345733310886,0.3855525014916693,0.8453299756887267,0.1996697380406467,0.08933990229186684,0.23556593459450126,0.3793655982041866,0.24134970383749987,0.8043744141377006,0.5657473065511459,0.03929194515069245,0.30476091279732576,0.28524434230676654,0.32053616680649555,0.22325540106936093,0.25349375325719037,0.6805830929187673,0.47321318688439873,0.7311029830035621,0.5628302372146029,0.8669410428305123,0.7754095145924946,0.9559187999620442,0.9583276864813868,0.5254319983096423,0.5861823540883414,0.5140806956192732,0.1037747086347407,0.6028075322667594,0.5368682179706021,0.8050176932346278,0.5981824455420024,0.46943486215404384,0.6878986454790752,0.21508522878509284,0.5960301609498011,0.12251914253709384"
pmc17,"0.5247564316322378,0.18657005888603584,0.7464914051180241,0.17329432007084578,0.32866454536991596,0.8105533307818329,0.2768776481472037,0.9650269106665126,0.39900270387013026,0.9484533069621567,0.5679452305526295,0.8774608626303804,0.6804993020747131,0.7315895217553319,0.1221099140100268,0.8980305489499869,0.6618391898493786,0.6950352288585532,0.7692231478381336,0.5930443341867842,0.8998333456872725,0.615298025069802,0.28152119841492995,0.3945760755976464,0.03899601257491159,0.4768434683178171,0.27039328638452553,0.9741944438163571,0.012103116776107425,0.8484253790905247,0.4045273855738697,0.013745554011345251,0.001992135219070268,0.005313475668345946,0.6543420054927197,0.38559759251333336,0.8451208514960348,0.07893940294655555,0.823552226611819,0.345806098410425,0.8956899442666165,0.40659053735947226,0.4981299435480424,0.040285518777998464,0.024005044844888856,0.8965746584690102,0.8754886503958965,0.995734452051323,0.8196248695476449,0.37208225496289593,0.3220675351957297,0.4820173397769325,0.7423699370897818,0.95887187319041,0.3156332153671523,0.7677646177143377,0.24317998026422594,0.3037350462250994,0.5807685836144216,0.6664073046949189,0.5469155137931242,0.9891253191087334,0.3665511873792262,0.5771866762233089,0.9154162014667034,0.7271628097401385,0.3712709205053938,0.4377814772996199,0.9325039530973825,0.9108342269897538,0.0785362427927987,0.06582984336315378,0.7147023163822577,0.654907123147859,0.18180846566694975,0.23921108803421876,0.744419253813326,0.9223077754835848,0.9405373011029476,0.1212648933591367,0.6177269240617943,0.2421834455937677,0.3133676944572782,0.7467433077981598,0.5706831750719786,0.9232995082699295,0.0977072753867585,0.6915055458135945,0.3572419681701362,0.8291817799499177,0.8129284053939371,0.9859915721706594,0.9107949305099489,0.36988862564812486,0.26440429792964537,0.72032291647856,0.9387498882798329,0.27186072672591577,0.4603861756750406,0.21202785050222894"
pmc18,"0.43194501864211576,0.8925589984899778,0.6496328990472147,0.15643704267108605,0.6725184560770384,0.9872761293149445,0.8062012797930613,0.12429722348554473,0.05476163882203133,0.7636057941597608,0.9154882975880418,0.26560004258870606,0.6545112142811352,0.08162998203058958,0.4521990282834353,0.24348229657629927,0.5577834173700249,0.9836789252634136,0.6246635688542638,0.39152569817782934,0.0218233967754895,0.08346408498938329,0.872753839566128,0.42182817853883137,0.03095579091934353,0.6877220424305607,0.8427119021605549,0.8470608269838995,0.009038469079292177,0.4226291970136091,0.06835320030995862,0.2483762603698002,0.7187396178535302,0.8044946424318223,0.23201818030881072,0.07103488904400213,0.7959263871435024,0.44279813654373745,0.8206961607667793,0.671093157085976,0.2972872042813265,0.14328145870264108,0.6893104121026903,0.40542282513915495,0.3353716062174624,0.19629430231106704,0.3024663174614697,0.43526227965655384,0.8881913496613041,0.7598236584283884,0.559744661333675,0.757776560375158,0.22833125236861085,0.14281430447286736,0.49101976266891,0.11396588711924116,0.5505706345413642,0.09301740926267499,0.9287634212054924,0.2854040684634225,0.5462476001308509,0.2650472874092833,0.3733531610318317,0.647720054420612,0.7619343757430971,0.9807611743888516,0.5016991660064248,0.23073459020705378,0.859502975624898,0.6153478406285743,0.3564047358496647,0.6925728000775818,0.9377046153793677,0.4427359277064583,0.08591038820282049,0.7869757993812009,0.9712199118854944,0.4258931550366818,0.9059439679262645,0.11376195880454942,0.45632592382239856,0.17170998897368817,0.2951088601842853,0.8577655483724422,0.760704806043895,0.4573166098928203,0.014998500377136681,0.883349701022104,0.5770533417135443,0.4437835792823357,0.0388736970166893,0.9377645593182242,0.8465543224654029,0.6485341590333424,0.5276244568387078,0.5294357405412765,0.7223111683237078,0.16970523915524494,0.36440986599540326,0.029541968611493274"
pmc19,"0.2912291401980419,0.5393422419156507,0.8492234104941779,0.25024289816459533,0.75237452943768,0.15041689110352818,0.7482596903836584,0.7308674752036443,0.3351972416459009,0.14011317576645255,0.03394597858579884,0.12951492128280417,0.2732595269982093,0.0603520839905638,0.9338750175279049,0.9270345447963066,0.7306505102392461,0.23918010421592562,0.3819396396528959,0.41262184084862374,0.6637896861755891,0.8824163684073387,0.11258039041193701,0.41102107526554577,0.3879867599468695,0.7227069576982285,0.31334791758514313,0.023594964645529126,0.3570293439700122,0.30293090564042924,0.7837598424841072,0.21440648299316456,0.7324010490583791,0.7728095732903374,0.014381446072085025,0.21079310155002862,0.17512314013035324,0.2610485262348481,0.4773503981224013,0.8054300430459791,0.2299937539632405,0.714718833502036,0.2523119270696871,0.516283299197674,0.17708225539728983,0.022564511705347234,0.8586981212445739,0.9206914007786196,0.1992196858370765,0.33882348242280735,0.8579349139973288,0.28191835559725165,0.05845798723687701,0.579829576047725,0.32073358231157123,0.6439079570677647,0.19249315063582706,0.14386796634332977,0.4967434280059845,0.5858083942152443,0.08947312281038722,0.6720595026617354,0.15141044393608505,0.029299443103418366,0.5051155557440064,0.15569259775593292,0.7254681684501628,0.29119645499662417,0.7097850502239725,0.41194654861226365,0.7476518245649778,0.5718975224589538,0.9122545611011557,0.9489162181887151,0.7141191409249159,0.05638185385323158,0.4380336566976468,0.985524133255218,0.566806105010466,0.4109606080359033,0.8940913692578455,0.5298338889620703,0.7334018493349057,0.494982794712461,0.14986279888655163,0.8461938661543734,0.16110002325642225,0.4957170100782755,0.3422655927897462,0.5708530255443127,0.6589427939347428,0.8621529582931218,0.12749972667198572,0.7253896016618326,0.5174610093842912,0.3954890761835702,0.19045699703004593,0.7184601783231668,0.35300475097183626,0.43393524963137375"
pmc20,"0.6118528947223795,0.8074401551640625,0.6576128923003434,0.5492266647061205,0.7915790437258485,0.5941307153521351,0.18452101935637732,0.9383404568210378,0.8028534485980114,0.8684679758979128,0.6974202672468399,0.8887480798689772,0.9508635622504104,0.24710323401014644,0.3161561049767505,0.06026739028956085,0.46520561228371815,0.14224936868719618,0.2056872621955551,0.6956181464968069,0.9633944342135504,0.8036035354415352,0.7036859774607958,0.9076110025565549,0.16002493646319405,0.692532431537108,0.7889324717760072,0.8985606046748393,0.926194068431782,0.3252951340230311,0.285758324592706,0.2708063280369726,0.5149333499132595,0.5484191629935626,0.7643533864364274,0.22936577703767236,0.6727646144124667,0.3433867021776442,0.3508191093350156,0.9467562446922407,0.41130397206623126,0.29335342144100984,0.3077709052931491,0.5806452259096341,0.09842418910136874,0.861664884699101,0.8572309373697911,0.3450168399245661,0.28418429571172876,0.9520624466390027,0.6669274474586807,0.3180396116945199,0.29992939747306624,0.2825502675186389,0.19225791846809193,0.8343247957493986,0.10187876413955654,0.10466044034648114,0.8429454824561972,0.10948236606899397,0.41798408550691357,0.052023755029446894,0.7984535050511905,0.6181029655616969,0.9883705667215711,0.22566458305205506,0.11323122325912538,0.7722675568375058,0.48222523033732656,0.9344107945712148,0.5506905446947946,0.9074631763464255,0.9460756180688313,0.24599974030679517,0.19623428168785562,0.3693826475825851,0.8610333999722404,0.5540583834602107,0.35442399198738617,0.6478370386082265,0.49786918051431917,0.28998739264414186,0.8712769881211572,0.13093125212677748,0.5718287711826909,0.45232347763429603,0.9960127833822483,0.31325074048882195,0.08387373855201208,0.5270709385134583,0.2725577488154005,0.8891305357048583,0.0930303747408957,0.2096609221117004,0.9243543461938004,0.32233845808094364,0.44215613811281174,0.7700890312540819,0.6363727057095906,0.2778328995646543"
pmc21,"0.13949386065204183,0.8960912999234932,0.5683086033354716,0.7145959227000623,0.7896181427945539,0.3808908566310215,0.2093493233367103,0.18123306616566015,0.004632023004602859,0.48743119824951364,0.29734900737255077,0.9556514982297534,0.15105789178090023,0.15954468011318834,0.5072348086883924,0.9344360268055143,0.060142342600785215,0.1213849394224289,0.12138641815940643,0.0032182636042786816,0.5601681834618419,0.5052067735766382,0.5406984766449103,0.7140326444668564,0.023352096328185912,0.13443512940812186,0.8918721448107347,0.7831984132986259,0.22867677960360877,0.7126213330985128,0.43276687959926263,0.2475597702798864,0.1613628010553837,0.06646332577627212,0.6237430848640091,0.4691072110475787,0.2205042634356471,0.8345717902556277,0.36255979655909454,0.400212275849672,0.24053158518014872,0.5254703073558932,0.6136379029893838,0.9359372482485595,0.9567204338893498,0.5771170823879065,0.7646509503848735,0.054732706924985886,0.2889685249210585,0.7379277689988003,0.43539632339975143,0.9246417911286366,0.47430866486843026,0.2790082903477966,0.3094695490886009,0.5773534012196677,0.9111205013919575,0.42294354374155774,0.4458866198598078,0.9658366688075836,0.853284798567202,0.11364603869671941,0.7072283283354233,0.5095088732242019,0.4652775312759233,0.2117981498815027,0.4063664052774615,0.07552708602588687,0.5203236261913857,0.04846423247582232,0.8167933695743474,0.12248141685029723,0.24471559702370094,0.5320868239380113,0.6900753541887977,0.5058092225923297,0.5658630735596195,0.9308328641758075,0.38114688203473557,0.7120719922479305,0.8418087090288189,0.628905144923615,0.19258163245852788,0.6962214361212724,0.25364247434137555,0.4243890180725104,0.17999961661068686,0.7536661379095813,0.9928039781860144,0.03820278375739106,0.8715456807081264,0.46784918329204295,0.589267338756667,0.88467498495335,0.5490832225687229,0.6103938666440536,0.07150302433163536,0.4623284974592826,0.7512731169377459,0.8699059338903209"
pmc22,"0.29214464853521815,0.3180034749718639,0.09367476782809248,0.6601973767177313,0.09120610304869037,0.9699143978146032,0.370472102791382,0.0664962673667775,0.3334991716911442,0.8945522268940914,0.9243961953765304,0.8621276172654506,0.4323348010426019,0.8717835665922017,0.0415728590503921,0.3516226872396344,0.5622968158779098,0.30327514756759555,0.6150129680388666,0.6195893374598407,0.9368224620330918,0.9671266152591704,0.09653447019544081,0.6079052140907037,0.7562136139501768,0.29939558837168123,0.43381741957652953,0.7803761235709804,0.6343636888716871,0.816779466505636,0.6854438832219015,0.06252629574284574,0.08355433751068975,0.7665150495325846,0.76230262450096,0.2685621674536426,0.21820753455217223,0.9354845135274957,0.8057145256682179,0.7832979829560477,0.6723838432917036,0.69783278550517,0.8979352934437369,0.6722506872941947,0.5993597250421656,0.8906584554618424,0.14669511401518154,0.20424210636842888,0.3770539310016988,0.59742924257342,0.9531201143941378,0.056224294850972245,0.16802005219267857,0.40496858737618846,0.974904272810235,0.646407375228089,0.8205075042321092,0.7955783762575864,0.7085835457678252,0.17478498788336594,0.8561536219946603,0.003918374951093262,0.19038178629703473,0.5457496797794357,0.05823783082027523,0.7925397676213367,0.4850729091426954,0.8275812174807021,0.9752445352839586,0.21027617790186137,0.959592147609234,0.5340361132046566,0.13156530663935462,0.48235620858275297,0.3903764460469539,0.5603486743503234,0.15723566509423348,0.005348988694222845,0.41185228314449696,0.17845067409837478,0.8013520582702486,0.11793867487423348,0.09761876053514895,0.20607377993717524,0.22806181690001992,0.15676294759929466,0.5025476067220231,0.22006625478469177,0.1271824536325109,0.615214896596914,0.48499228457749954,0.6574443271774648,0.5321179724587827,0.6162242516069529,0.5829984797183156,0.9391086983102406,0.3896574222881154,0.7140870226850174,0.6785170694844144,0.6049408131977551"
pmc23,"0.3663618432936917,0.11005192452767676,0.3677158030594335,0.27993389694594284,0.49442030470258147,0.8421189231357087,0.4845229851910213,0.741120649290059,0.3981686935909433,0.7998552559473152,0.9710582451653678,0.8095160747248781,0.9436159201675989,0.21921398735804432,0.14834320096208886,0.10142082844921652,0.9576252845053802,0.10104581101064669,0.774633780637788,0.3554930104413574,0.05225787928602377,0.4177609792750997,0.24189382825883898,0.3093727178627821,0.4585230088818907,0.35871552541701346,0.909943143854392,0.4579957590035715,0.22207587069332058,0.18161396775660266,0.332456157148712,0.45894051659682034,0.01912896643728701,0.583713587731364,0.03893801668766561,0.10097810681776109,0.8740717733051852,0.18573307200518563,0.328179482797612,0.2659284506321188,0.8260646845482855,0.9002641112020704,0.8099244203028994,0.481277951219237,0.7286562842366027,0.5969452234131726,0.690322846900729,0.4186951433276842,0.3933206703851887,0.8808951605447525,0.7192452005758319,0.4856342984133404,0.3547972896563887,0.9987929358156545,0.4111134169948486,0.4583634794263062,0.7600349018031739,0.1413835542163402,0.7318727372865008,0.6480303180552142,0.099237664919681,0.9994606810596731,0.36672190859379905,0.3594238268308171,0.2622743218149849,0.18690729645011817,0.5408270639715397,0.42766908582416907,0.9657704438842871,0.565888605101759,0.792662476751617,0.8794626935118923,0.3022767004964485,0.7028664440501013,0.41577480098965147,0.7286151567927769,0.6906227420813416,0.7482388061809001,0.727579322134944,0.07958814737204245,0.41050482134835653,0.6549411045673216,0.8977958063920259,0.4412296690917168,0.011526014052985256,0.42640605649197283,0.848417726430511,0.38853114800604205,0.07234838383605735,0.8280432857742522,0.30557645932782573,0.8950667229362141,0.26637764143002385,0.42872514175148146,0.4016531257643803,0.6717448404774834,0.7416030197372087,0.7359353919374455,0.19841010119356273,0.6140907379757017"
